partner_id,journal_id,move_name,product_id,quantity,analytic_distribution,price_unit,move_id
1079,2,7jVTGpnarWCVoNRtzUGO,24565,1,{'238': 5600.57},5600.57,24624
1079,2,Sg4Ot4MrBddw4RPk21YK,24565,1,{'238': 3219.82},3219.82,24624
1079,2,RFRcQfI1rlfQ2qu5K4qq,24565,1,{'238': 3039.0},3039.0,24624
688,2,,24639,1,{'274': 100},712314.9,24638
694,2,1GnZgN4LR6gu9glRicrt,24640,1,{'222': 100},0.0,24625
717,2,,24641,1,{'235': 100},5830.0,24639
744,2,,24642,1,{'235': 100},3079.99,24626
717,2,,24643,1,{'238': 100},18500.41,24640
1194,2,OyA4v6Gsdx2BBvxxx1LD,24558,1,{'284': 1200.0},1200.0,24641
1194,2,kNUgD35elUYsixyn1mp0,24558,1,{'284': 1200.0},1200.0,24641
648,2,tJtaUb7FrZrqB3IF66c9,24558,0.900,{'235': 10950.0},10950.0,24642
648,2,WvxbR5Z1qUHJ55epqbNj,24558,2.620,{'235': 8325.0},8325.0,24642
648,2,yb7XEcUYITouuY0QHlxK,24558,2,{'235': 3719.0},3719.0,24642
648,2,ALh9Xjk9JWLjFk6Oj7n7,24558,3,{'235': 3512.0},3512.0,24642
648,2,VLwU2k2l8l0NfMq3GXjO,24558,0.460,{'235': 5785.0},5785.0,24642
648,2,0giP4o6asik4M0QlUv7W,24558,2,{'235': 2024.0},2024.0,24642
648,2,gL2M7PerX0taAJujVw3i,24558,3,{'235': 1115.0},1115.0,24642
642,2,,24644,1,{'235': 100},35780.82,24627
754,2,mFFFEJ8fDxsyGW2vlvsr,24565,232.118,{'258': 816.373},816.373,24628
754,2,MN1NxHNjyvxC71nWN6dF,24565,27,{'258': 601.964},601.964,24628
657,2,,24596,1,{'235': 100},5600.0,24629
1148,2,,24557,1,{'235': 100},162400.0,24630
866,2,,24554,1,{'274': 100},629200.0,24631
862,2,uISt6O5nqVcPOcJE6G86,24565,4,{'244': 9600.0},9600.0,24632
862,2,apbZxDcjXVvatt5u7NYf,24565,4,{'244': 9800.0},9800.0,24632
862,2,xyYzkP4zPr8P5UMXlqIT,24565,1,{'244': 190000.0},190000.0,24632
862,2,RZg4lNFEp4RidPV6elHA,24565,4,{'244': 6800.0},6800.0,24632
862,2,e2DMNaLr3yghv9MtK318,24565,2,{'244': 9800.0},9800.0,24632
862,2,gAyq8YPNAV5KA7KwoKUh,24565,4,{'244': 10200.0},10200.0,24632
